pitcher_id,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
592094,RP,Andrew Kittredge,32,3,1,0.75,3.15,17,0,9,0,0,5,20,15,7,7,4,2,0,14,0,0,0,75,120,4.61,0.85,6.8,1.8,0.9,6.3,7
542888,RP,Brett Phillips,28,0,0,,18,3,0,3,0,0,0,4,9,8,8,3,2,0,0,0,0,0,22,23,14.36,2.75,20.3,6.8,4.5,0,0
572703,RP,Brooks Raley,34,1,2,0.333,2.68,60,0,12,0,0,6,53.2,37,19,16,3,15,0,61,6,0,3,219,139,2.74,0.969,6.2,0.5,2.5,10.2,4.07
669358,RP,Calvin Faucher,26,2,3,0.4,5.48,22,0,7,0,0,1,21.1,26,16,13,4,10,0,21,1,0,2,101,69,5.13,1.688,11,1.7,4.2,8.9,2.1
656222,RP,Chris Mazza,32,1,0,1,11.81,2,0,0,0,0,0,5.1,9,10,7,3,6,0,5,2,0,1,35,34,13.05,2.813,15.2,5.1,10.1,8.4,0.83
542194,RP,Christian Bethancourt,30,0,0,,3,3,0,3,0,0,0,3,6,1,1,1,0,0,1,0,0,0,15,140,6.78,2,18,3,0,3,
644374,RP,Colin Poche,28,4,2,0.667,3.99,65,0,13,0,0,7,58.2,46,30,26,11,22,0,64,1,0,4,245,93,4.54,1.159,7.1,1.7,3.4,9.8,2.91
608638,RP,Cooper Criswell,25,0,0,,2.7,1,1,0,0,0,0,3.1,2,1,1,0,1,0,4,0,0,0,13,154,1.61,0.9,5.4,0,2.7,10.8,4
630023,SP,Corey Kluber,36,10,10,0.5,4.34,31,31,0,0,0,0,164,178,82,79,20,21,0,139,10,0,2,689,85,3.57,1.213,9.8,1.1,1.2,7.6,6.62
664076,RP,Cristofer Ogando,28,0,0,,4.15,3,0,2,0,0,0,4.1,4,2,2,0,1,0,2,1,0,0,17,97,3.57,1.154,8.3,0,2.1,4.2,2
681867,RP,David McKay,27,0,0,,18,1,0,0,0,0,0,2,3,4,4,1,2,0,0,0,0,0,11,25,12.61,2.5,13.5,4.5,9,0,0
667498,SP,Drew Rasmussen,26,11,7,0.611,2.84,28,28,0,0,0,0,146,121,51,46,13,31,0,125,3,0,10,584,130,3.26,1.041,7.5,0.8,1.9,7.7,4.03
664126,SP,Dusten Knight,31,0,1,0,5.73,6,0,3,0,0,0,11,11,8,7,4,4,1,9,0,0,1,49,67,7.29,1.364,9,3.3,3.3,7.4,2.25
676534,SP,Easton McGee,24,0,0,,0,1,0,1,0,0,0,3,4,1,0,0,0,0,1,0,0,0,14,,2.45,1.333,12,0,0,3,
656420,SP,Garrett Cleavinger,28,1,0,1,2.41,13,0,2,0,0,0,18.2,8,5,5,1,4,0,25,0,0,0,68,156,1.77,0.643,3.9,0.5,1.9,12.1,6.25
676596,SP,J.P. Feyereisen,29,4,0,1,0,22,2,3,0,0,1,24.1,7,1,0,0,5,0,25,0,0,0,86,,1.67,0.493,2.6,0,1.8,9.2,5
621248,SP,Jalen Beeks,28,2,3,0.4,2.8,42,7,8,0,0,2,61,49,22,19,7,22,0,70,2,0,3,250,132,3.49,1.164,7.2,1,3.2,10.3,3.18
607192,CL,Jason Adam,30,2,3,0.4,1.56,67,0,16,0,0,8,63.1,31,12,11,5,17,2,75,6,0,2,237,238,2.86,0.758,4.4,0.7,2.4,10.7,4.41
642770,SP,Javy Guerra,26,2,1,0.667,3.38,17,0,3,0,0,0,16,13,7,6,2,8,2,9,1,0,2,70,112,5.3,1.313,7.3,1.1,4.5,5.1,1.13
